# energy_eV muE
8.981500000000000000e+03 -1.637303300000000073e-01
8.982000000000000000e+03 -6.868020499999999418e-02
8.982500000000000000e+03 -3.145954100000000059e-02
8.983000000000000000e+03 -3.777444299999999783e-02
8.983500000000000000e+03 -7.179585700000000459e-02
8.984000000000000000e+03 -1.048666399999999971e-01
8.984500000000000000e+03 -1.218657499999999949e-01
8.985000000000000000e+03 -1.061912099999999942e-01
8.985500000000000000e+03 -6.297902199999999562e-02
8.986000000000000000e+03 2.494585699999999923e-03
8.986500000000000000e+03 5.562750500000000070e-02
8.987000000000000000e+03 1.058630400000000055e-01
8.987500000000000000e+03 1.543837499999999863e-01
8.988000000000000000e+03 2.091416799999999965e-01
8.988500000000000000e+03 2.676393300000000086e-01
8.989000000000000000e+03 3.439292800000000039e-01
8.989500000000000000e+03 4.307321800000000200e-01
8.990000000000000000e+03 5.341009500000000187e-01
8.990500000000000000e+03 6.434363199999999505e-01
8.991000000000000000e+03 7.604831699999999861e-01
8.991500000000000000e+03 8.932010599999999911e-01
8.992000000000000000e+03 1.011672399999999916e+00
8.992500000000000000e+03 1.127255600000000024e+00
8.993000000000000000e+03 1.240803799999999901e+00
8.993500000000000000e+03 1.337092299999999900e+00
8.994000000000000000e+03 1.408550900000000050e+00
8.994500000000000000e+03 1.456924000000000108e+00
8.995000000000000000e+03 1.470485100000000100e+00
8.995500000000000000e+03 1.458796900000000063e+00
8.996000000000000000e+03 1.426425499999999902e+00
8.996500000000000000e+03 1.383030900000000063e+00
8.997000000000000000e+03 1.330225999999999908e+00
8.997500000000000000e+03 1.285429300000000108e+00
8.998000000000000000e+03 1.242741000000000096e+00
8.998500000000000000e+03 1.204840200000000028e+00
8.999000000000000000e+03 1.179613100000000081e+00
8.999500000000000000e+03 1.165193099999999982e+00
9.000000000000000000e+03 1.164014899999999963e+00
9.000500000000000000e+03 1.178563199999999922e+00
9.001000000000000000e+03 1.210451399999999955e+00
9.001500000000000000e+03 1.258162999999999920e+00
9.002000000000000000e+03 1.314948400000000017e+00
9.002500000000000000e+03 1.373826100000000050e+00
9.003000000000000000e+03 1.436964700000000095e+00
9.003500000000000000e+03 1.484357399999999938e+00
9.004000000000000000e+03 1.509208200000000000e+00
9.004984000000000378e+03 1.486757000000000106e+00
9.005987999999999374e+03 1.407760200000000017e+00
9.007012000000000626e+03 1.312620099999999956e+00
9.008052999999999884e+03 1.241685499999999998e+00
9.009113999999999578e+03 1.186332100000000001e+00
9.010192999999999302e+03 1.129578200000000088e+00
9.011292999999999665e+03 1.079385000000000039e+00
9.012409999999999854e+03 1.056123399999999934e+00
9.013548000000000684e+03 1.059420100000000087e+00
9.014702999999999520e+03 1.074576100000000034e+00
9.015878000000000611e+03 1.098367899999999953e+00
9.017072000000000116e+03 1.134434500000000012e+00
9.018284999999999854e+03 1.183960300000000077e+00
9.019518000000000029e+03 1.243327000000000071e+00
9.020769000000000233e+03 1.302784399999999954e+00
9.022038000000000466e+03 1.357780900000000068e+00
9.023326999999999316e+03 1.408268099999999912e+00
9.024636000000000422e+03 1.458605699999999894e+00
9.025962999999999738e+03 1.493983599999999967e+00
9.027308999999999287e+03 1.497814800000000002e+00
9.028674000000000888e+03 1.463218600000000036e+00
9.030058999999999287e+03 1.404152700000000031e+00
9.031460999999999331e+03 1.338019999999999987e+00
9.032884000000000015e+03 1.269317999999999946e+00
9.034325000000000728e+03 1.217582299999999895e+00
9.035784999999999854e+03 1.185284100000000063e+00
9.037264999999999418e+03 1.169041599999999903e+00
9.038763000000000829e+03 1.167942000000000036e+00
9.040280000000000655e+03 1.181547899999999984e+00
9.041816000000000713e+03 1.202206300000000061e+00
9.043371999999999389e+03 1.215645899999999946e+00
